Andrew Wasylyk	Awoke in The Early Days of A Better World	Fugitive Light and Themes of Consolation		Athens of the North	10:00
T2	J.L.T.	It'll All Work Out In Boomland		Akarma Records	10:05
Big Muff	My Funny Valentine	My Funny Valentine		Sm:)e Communications	10:11
Jitwam	Temptations	Honeycomb		Tartelet	10:18
Knxwledge	drop	VGM.12		Knxwledge	10:21
Liv.e	Come In	Frank		Liv.e	10:23
Evinha	Esperar Pra Ver	Cartão Postal		EMI Records Ltd	10:27
Nels Cline	Canales Cabeza	Macroscope		Mack Avenue Records	10:30
Taeko Ohnuki	Kusuri o Takusan	SUNSHOWER		Nippon Crown Ltd.	10:34
La Danza De Helmut	Luri Molina	La Danza De Helmut		Luri Molina	10:38
Still.Floating	All the Time	Soon As The Weather Breaks		Still.Floating	10:42
Peyton	Verbs	Verbs		Peyton	10:43
Les Sins	Bellow	Michael		Company Records	10:46
Speedometer	We Gave Up Too Soon feat. Vanessa Jamie	Our Kind of Movement		Freestyle Records	10:49
John Carroll Kirby	High	High		Stones Throw Records	10:52
Marvin Gaye	After the Dance	I Want You		UMG Recordings	10:56
